hand_number,shoe_number,true_count,running_count,remaining_decks,bet_amount,player_cards,dealer_up_card,dealer_hole_card,player_initial_total,dealer_initial_total,player_blackjack,dealer_blackjack,player_actions,player_final_cards,dealer_final_cards,player_final_total,dealer_final_total,outcome,profit,total_wagered
41,1,-5.78,-5,0.87,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: K-4-6-8,N/A,0,0,SIT_OUT,0,0
42,1,-5.07,-4,0.79,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 4-8-9-8,N/A,0,0,SIT_OUT,0,0
43,1,-4.22,-3,0.71,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 2-2-6-A,N/A,0,0,SIT_OUT,0,0
44,1,-1.58,-1,0.63,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 8-6-6-4,N/A,0,0,SIT_OUT,0,0
45,1,3.59,2,0.56,25,6-K,A,6,16,17,False,False,SURRENDER,6-K,A-6,16,17,SURRENDER,-12.5,25
46,1,4.16,2,0.48,25,3-Q,8,A,13,19,False,False,HIT-STAND,3-Q-4,8-A,17,19,DEALER_WIN,-25,25
47,1,5.2,2,0.38,25,9-J,10,2,19,12,False,False,STAND,9-J,10-2-8,19,20,DEALER_WIN,-25,25
48,1,3.47,1,0.29,15,3-10,J,7,13,17,False,False,HIT,3-10-Q,J-7,23,17,PLAYER_BUST,-15,15
49,1,-5.2,-1,0.19,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 2-6-6-9,N/A,0,0,SIT_OUT,0,0
50,2,0.0,0,4.0,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 3-9-10-3,N/A,0,0,SIT_OUT,0,0
51,2,0.25,1,3.92,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 2-2-J-J,N/A,0,0,SIT_OUT,0,0
52,2,0.26,1,3.85,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: Q-9-6-3,N/A,0,0,SIT_OUT,0,0
53,2,0.53,2,3.77,5,6-4,4,8,10,12,False,False,DOUBLE,6-4-7,4-8-6,17,18,DEALER_WIN,-10,10
54,2,1.64,6,3.65,10,Q-A,Q,J,21,20,True,False,PLAYER_BLACKJACK,Q-A,Q-J,21,20,PLAYER_BLACKJACK,15.0,10
55,2,0.56,2,3.58,5,8-8,4,10,16,14,False,False,SPLIT-SPLIT_SIMPLIFIED,8-8,4-10-A-J,16,25,DEALER_BUST,5,5
56,2,0.0,0,3.46,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 5-8-10-9,N/A,0,0,SIT_OUT,0,0
57,2,0.0,0,3.38,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 7-4-5-J,N/A,0,0,SIT_OUT,0,0
58,2,0.3,1,3.31,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: Q-K-6-6,N/A,0,0,SIT_OUT,0,0
59,2,0.31,1,3.23,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 3-4-A-9,N/A,0,0,SIT_OUT,0,0
60,2,0.63,2,3.15,5,10-A,7,3,21,10,True,False,PLAYER_BLACKJACK,10-A,7-3,21,10,PLAYER_BLACKJACK,7.5,5
61,2,0.32,1,3.08,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: A-Q-6-5,N/A,0,0,SIT_OUT,0,0
62,2,0.33,1,3.0,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 6-4-3-4,N/A,0,0,SIT_OUT,0,0
63,2,1.71,5,2.92,10,3-J,6,2,13,8,False,False,STAND,3-J,6-2-5-Q,13,23,DEALER_BUST,10,10
64,2,2.49,7,2.81,10,8-A,Q,8,19,18,False,False,STAND,8-A,Q-8,19,18,PLAYER_WIN,10,10
65,2,1.83,5,2.73,10,10-2,Q,10,12,20,False,False,HIT-STAND,10-2-5,Q-10,17,20,DEALER_WIN,-10,10
